lId;dtTime;lBoardNumber;ucConveyor;ucProcessingArea;sEvent;dtCreated;ucProcessingMode;lIdSequence;lBoardCompositeId;ucSubConveyor
22222222;2018-02-14 13:53:32.513;0;2;1;22;2018-02-14 13:53:32.527;0;619804;181853;0
22222222;2018-02-14 13:53:31.633;0;2;1;24;2018-02-14 13:53:31.650;0;619800;181851;0
22222222;2018-02-14 13:53:31.620;802;2;1;41;2018-02-14 13:53:31.643;1;619799;181849;0
22222222;2018-02-14 13:52:58.270;0;1;1;21;2018-02-14 13:52:58.287;0;619731;181822;0
22222222;2018-02-14 13:52:56.930;0;1;1;22;2018-02-14 13:52:56.940;0;619726;181820;0
22222222;2018-02-14 13:52:56.057;0;1;1;24;2018-02-14 13:52:56.080;0;619720;181819;0
22222222;2018-02-14 13:52:56.040;1971;1;1;41;2018-02-14 13:52:56.070;1;619719;181810;0
22222222;2018-02-14 13:52:21.017;0;2;1;21;2018-02-14 13:52:21.037;0;619648;181816;0
22222222;2018-02-14 13:52:19.677;0;2;1;22;2018-02-14 13:52:19.693;0;619643;181815;0
22222222;2018-02-14 13:52:18.787;0;2;1;24;2018-02-14 13:52:18.807;0;619639;181813;0
22222222;2018-02-14 13:52:18.777;800;2;1;41;2018-02-14 13:52:18.800;1;619638;181811;0
22222222;2018-02-14 13:51:45.027;0;1;1;21;2018-02-14 13:51:45.040;0;619555;181785;0
22222222;2018-02-14 13:51:43.703;0;1;1;22;2018-02-14 13:51:43.717;0;619551;181783;0
22222222;2018-02-14 13:51:42.830;0;1;1;24;2018-02-14 13:51:42.870;0;619546;181782;0
22222222;2018-02-14 13:51:42.820;1969;1;1;41;2018-02-14 13:51:42.857;1;619545;181768;0
22222222;2018-02-14 13:51:07.683;0;2;1;21;2018-02-14 13:51:07.697;0;619460;181769;0
22222222;2018-02-14 13:51:06.360;0;2;1;22;2018-02-14 13:51:06.373;0;619455;181767;0
22222222;2018-02-14 13:51:05.473;0;2;1;24;2018-02-14 13:51:05.487;0;619451;181765;0
22222222;2018-02-14 13:51:05.463;798;2;1;41;2018-02-14 13:51:05.480;1;619450;181763;0
22222222;2018-02-14 13:50:32.927;0;1;1;21;2018-02-14 13:50:32.937;0;619400;181736;0
22222222;2018-02-14 13:50:31.603;0;1;1;22;2018-02-14 13:50:31.623;0;619395;181734;0
22222222;2018-02-14 13:50:30.710;0;1;1;24;2018-02-14 13:50:30.730;0;619390;181732;0
22222222;2018-02-14 13:50:30.700;1967;1;1;41;2018-02-14 13:50:30.720;1;619389;181725;0
22222222;2018-02-14 13:49:56.110;0;2;1;21;2018-02-14 13:49:56.120;0;619350;181726;0
22222222;2018-02-14 13:49:54.783;0;2;1;22;2018-02-14 13:49:54.797;0;619345;181724;0
22222222;2018-02-14 13:49:53.887;0;2;1;24;2018-02-14 13:49:53.910;0;619341;181722;0
22222222;2018-02-14 13:49:53.877;796;2;1;41;2018-02-14 13:49:53.897;1;619340;181720;0
22222222;2018-02-14 13:49:19.827;0;1;1;21;2018-02-14 13:49:19.837;0;619314;181697;0
22222222;2018-02-14 13:49:18.497;0;1;1;22;2018-02-14 13:49:18.510;0;619310;181695;0
22222222;2018-02-14 13:49:17.613;0;1;1;24;2018-02-14 13:49:17.630;0;619295;181692;0
22222222;2018-02-14 13:49:17.607;1965;1;1;41;2018-02-14 13:49:17.623;1;619293;181689;0
22222222;2018-02-14 13:48:40.840;0;2;1;21;2018-02-14 13:48:40.853;0;619252;181691;0
22222222;2018-02-14 13:48:40.753;0;1;1;25;2018-02-14 13:48:40.773;0;619246;181690;0
22222222;2018-02-14 13:48:40.753;1965;1;1;40;2018-02-14 13:48:40.773;1;619247;181689;0
22222222;2018-02-14 13:48:39.483;0;2;1;22;2018-02-14 13:48:39.497;0;619242;181688;0
22222222;2018-02-14 13:48:39.480;0;2;1;24;2018-02-14 13:48:39.493;0;619239;181687;0
