Id	MachineId	Timestamp	EntryType	Source	Parameter	ExtendedParameter	UserComment	SignalResult	SignalStream	Parameter2	Parameter3	Parameter4	Parameter5	ErrorCategoryId
30805059	1009	2018-02-23 10:15:01.143	4	401 // VFR // 410976 // DMU 105	17180	17180, Satz N4810 unerlaubte D-Nummer|		0		17180, Satz N4810 unerlaubte D-Nummer|	Idle			0
30805060	1009	2018-02-23 10:15:01.223	15	401 // VFR // 410976 // DMU 105	STOPPED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	Automatic		0
30805062	1009	2018-02-23 10:15:06.947	5	401 // VFR // 410976 // DMU 105	17180			0						0
30805064	1009	2018-02-23 10:15:08.350	15	401 // VFR // 410976 // DMU 105	FINISHED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	Automatic		0
30805100	1009	2018-02-23 10:15:48.397	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	OSTORE1.SYF			0
30805101	1009	2018-02-23 10:15:48.413	25	401 // VFR // 410976 // DMU 105	MDI			0						0
30805103	1009	2018-02-23 10:15:54.543	15	401 // VFR // 410976 // DMU 105	RUNNING			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	MDI		0
30805110	1009	2018-02-23 10:15:59.613	15	401 // VFR // 410976 // DMU 105	STOPPED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	MDI		0
30805111	1009	2018-02-23 10:16:00.003	15	401 // VFR // 410976 // DMU 105	FINISHED			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	MDI		0
30805112	1009	2018-02-23 10:16:00.317	25	401 // VFR // 410976 // DMU 105	Manual			0						0
30805196	1009	2018-02-23 10:20:06.907	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	0001_SL_KF_D6ALT.MPF			0
30805197	1009	2018-02-23 10:20:07.077	25	401 // VFR // 410976 // DMU 105	Automatic			0						0
30805225	1009	2018-02-23 10:20:28.357	15	401 // VFR // 410976 // DMU 105	RUNNING			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	Automatic		0
30805231	1009	2018-02-23 10:20:40.243	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF			0		\WKS.DIR\TMA.WPD\0001_SL_KF_D6ALT.MPF	L_TOL.SPF			0
30805233	1009	2018-02-23 10:20:41.570	4	401 // VFR // 410976 // DMU 105	120200	120200, Bildaufbereitung unterdrückt, bitte warten.|		0		120200, Bildaufbereitung unterdrückt, bitte warten.|	Idle			0
